episode,total_reward,avg_loss,epsilon,steps,elapsed_s
232,877.2,0.572814,0.05,1228,21.7
233,896.8,0.563081,0.05,1032,17.5
234,883.7,0.558565,0.05,1163,19.9
235,835.4,0.553883,0.05,1646,28.1
236,796.59,0.569622,0.05,2000,34.5
237,796.15,0.5836,0.05,2000,34.8
238,796.47,0.602636,0.05,2000,34.6
239,866.8,0.592729,0.05,1332,24.9
240,901.4,0.591038,0.05,986,17.3
241,896.1,0.596896,0.05,1039,18.0
242,887.5,0.585162,0.05,1125,19.5
243,793.36,0.600095,0.05,2000,34.5
244,789.62,0.602923,0.05,2000,34.4
245,896.7,0.603768,0.05,1033,17.5
246,789.05,0.603523,0.05,2000,34.3
247,730.81,0.605644,0.05,1659,28.7
248,884.0,0.608143,0.05,1160,20.2
249,901.3,0.603977,0.05,987,16.7
250,793.08,0.599386,0.05,2000,34.2
251,891.0,0.608311,0.05,1090,18.4
252,907.1,0.59657,0.05,929,15.6
253,778.79,0.606582,0.05,2000,35.1
254,782.14,0.594892,0.05,2000,34.2
255,911.8,0.596633,0.05,882,14.6
256,906.1,0.602116,0.05,939,15.7
257,902.1,0.602479,0.05,979,16.2
258,786.49,0.6006,0.05,2000,36.3
259,899.5,0.606523,0.05,1005,17.3
260,789.66,0.609846,0.05,2000,34.5
261,834.3,0.590343,0.05,1657,28.4
262,888.9,0.604867,0.05,1111,18.8
263,889.0,0.615833,0.05,1110,18.6
264,892.6,0.612519,0.05,1074,18.8
265,881.5,0.616909,0.05,1185,21.4
266,892.8,0.615293,0.05,1072,18.6
267,908.9,0.609644,0.05,911,15.7
268,905.4,0.610191,0.05,946,16.9
269,793.51,0.614108,0.05,2000,34.6
270,796.54,0.626895,0.05,2000,34.3
271,817.4,0.639445,0.05,1826,32.7
272,913.4,0.639994,0.05,866,15.1
273,790.26,0.623746,0.05,2000,34.4
274,889.8,0.603896,0.05,1102,18.7
275,902.2,0.602427,0.05,978,16.4
276,888.5,0.610526,0.05,1115,19.0
277,905.7,0.597561,0.05,943,15.9
278,785.03,0.6123,0.05,2000,34.5
279,776.05,0.600777,0.05,2000,34.8
280,898.4,0.609163,0.05,1016,17.1
281,792.65,0.600424,0.05,2000,34.1
282,793.4,0.579554,0.05,2000,35.8
283,792.59,0.591855,0.05,2000,35.8
284,786.3,0.586651,0.05,2000,35.1
285,877.3,0.595037,0.05,1227,20.5
286,903.1,0.579546,0.05,969,16.3
287,885.2,0.580378,0.05,1148,19.6
288,786.21,0.572141,0.05,2000,34.1
289,633.94,0.590386,0.05,2000,33.4
290,905.8,0.584012,0.05,942,15.9
291,789.62,0.594271,0.05,2000,33.9
292,895.2,0.574953,0.05,1048,17.7
293,787.9,0.591337,0.05,2000,33.8
294,786.21,0.591075,0.05,2000,36.5
295,815.7,0.588465,0.05,1843,33.4
296,900.1,0.594599,0.05,999,18.2
297,796.52,0.59167,0.05,2000,36.1
298,789.29,0.590343,0.05,2000,34.2
299,781.01,0.57953,0.05,2000,34.4
300,791.04,0.560875,0.05,2000,34.9
301,775.44,0.557028,0.05,2000,36.5
302,796.92,0.554199,0.05,2000,35.2
303,774.82,0.570993,0.05,2000,34.5
304,796.73,0.573355,0.05,2000,34.3
305,791.74,0.581622,0.05,2000,35.7
306,886.5,0.58358,0.05,1135,19.8
307,903.4,0.570527,0.05,966,16.4
308,895.8,0.577907,0.05,1042,17.9
309,766.89,0.575902,0.05,2000,34.2
310,796.63,0.576795,0.05,2000,34.6
311,912.4,0.568072,0.05,876,14.5
312,902.6,0.579554,0.05,974,16.4
313,793.03,0.580085,0.05,2000,34.5
314,811.0,0.583244,0.05,1890,33.6
315,900.6,0.579419,0.05,994,18.1
316,910.4,0.576794,0.05,896,15.3
